NAME,LAT,LON,ADDRESS,ZIP,OPEN_HRS_WK,VIS_FLAG,VIS_01,VIS_02,VIS_03,VIS_04,VIS_05,VIS_06,VIS_07,VIS_08,VIS_09,VIS_10,VIS_11,VIS_12,VIS_TOTAL,CIRC_01,CIRC_02,CIRC_03,CIRC_04,CIRC_05,CIRC_06,CIRC_07,CIRC_08,CIRC_09,CIRC_10,CIRC_11,CIRC_12,CIRC_TOTAL,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,HP_08,HP_09,HP_10,HP_11,HP_12,HP_TOTAL,HF_01,HF_02,HF_03,HF_04,HF_05,HF_06,HF_07,HF_08,HF_09,HF_10,HF_11,HF_12,HF_TOTAL,CS_01,CS_02,CS_03,CS_04,CS_05,CS_06,CS_07,CS_08,CS_09,CS_10,CS_11,CS_12,CS_TOTAL
Near North,41.9038693876,-87.6364897979,310 W. Division Street,60610,48,YES,11006,10472,11522,11163,10995,12164,12797,13728,11364,11683,10670,9472,137036,9473,8531,9317,8486,9239,9930,9859,10012,9740,9065,9125,8144,110921,390,357,431,285,330,328,364,390,354,341,346,288,4204,5365,4450,5562,1648,5090,5446,4790,5529,5302,5392,4992,4745,58191,1915,1840,2011,1827,1883,1920,1874,2129,1916,1712,1563,1459,22049
North Austin,41.909429198,-87.7687989889,5724 W. North Avenue,60639,48,NO,3881,4048,4561,4390,4354,4911,5595,6269,5010,5092,4582,2290,54983,1518,1423,1635,1411,1297,1533,1840,1862,1578,1705,1414,629,17845,75,100,104,80,21,51,57,87,75,50,71,41,812,765,589,815,229,545,599,629,756,809,758,701,405,7583,1548,1437,1468,1698,1529,1723,1797,2222,1660,1897,1733,813,19525
North Pulaski,41.9100424161,-87.7339260922,4300 W. North Avenue,60639,48,NO,4958,4260,4494,4748,4583,5150,5769,6064,4735,5379,4219,3844,58203,3787,3269,3268,3163,2741,3073,3434,3015,2722,3407,2777,2586,37242,159,121,152,59,69,109,91,74,92,87,63,75,1151,1287,825,1154,283,828,893,862,980,905,874,737,862,10556,1411,1223,1295,1380,1242,1469,1566,1700,1428,1390,1232,1221,16557
Northtown,41.998339029,-87.6996500514,6435 N. California Avenue,60645,48,NO,8736,8423,8961,8899,9227,10644,11302,11891,9884,10041,9308,7669,114985,7466,7048,7383,7538,7621,8868,9567,9469,7833,7785,7712,6637,94927,272,249,221,214,199,226,254,281,244,196,266,228,2850,3445,2849,3577,1045,3605,3786,3954,4241,3610,3866,3605,3236,41098,1665,1481,1658,1712,1601,1882,1900,1924,1717,1757,1650,1389,20336
Oriole Park,41.9779611402,-87.8132091093,7454 W. Balmoral Avenue,60656,48,YES,6159,6663,8350,6567,7318,7313,8123,7709,7839,8990,7769,6148,88948,6040,5481,6021,5296,5806,6191,6601,6796,6354,6544,6122,4899,72151,109,85,103,77,70,88,124,124,104,119,83,65,1151,2556,1991,2348,770,2473,2382,2621,2900,2615,2683,2708,2279,28324,747,756,896,792,941,862,751,820,986,978,1005,867,10401
Portage-Cragin,41.9387767504,-87.7544929377,5108 W. Belmont Avenue,60641,48,NO,6385,6046,6492,6355,6372,9269,9066,10653,7843,6941,6213,5453,87088,7500,6941,7699,7441,6959,7523,8173,8384,7509,7659,7623,6333,89744,152,145,332,136,186,108,182,166,166,158,107,102,1940,1979,1708,2116,588,1920,1883,1905,2178,1940,2038,1904,1732,21944,1816,1705,1846,1893,1905,1829,1978,2200,1964,1993,1658,1474,22261
Pullman,41.694406409,-87.6182606623,11001 S. Indiana Avenue,60628,48,NO,4667,4831,4997,4883,4421,4654,5533,5698,4765,4752,4484,4610,58295,1401,1326,1337,1295,1280,1221,1366,1419,1185,1249,1108,936,15123,55,72,77,47,51,50,54,39,66,38,29,40,618,719,636,716,243,581,623,585,624,583,644,579,465,6947,1852,1778,1740,1708,1631,1606,1654,1946,1759,1608,1643,1567,20492
Roden,41.9919175249,-87.7983018986,6083 N. Northwest Highway,60631,48,NO,4703,4350,4864,4484,4810,5436,6269,6351,4875,4747,4511,4196,59596,6333,5764,6389,5613,5932,7062,7408,7359,6212,5955,5689,4967,74683,447,339,361,221,264,344,252,272,326,282,275,186,3569,3090,2695,3034,968,2836,3076,3040,3211,2881,3205,2861,2431,33451,755,716,755,698,667,747,732,793,750,695,680,630,8618
Rogers Park,42.0067076366,-87.6734076727,6907 N. Clark Street,60626,48,NO,12529,11349,13277,13307,12941,14899,15240,16344,13909,13780,12562,11493,161630,9954,8866,10334,10420,10106,10935,11882,12265,10696,11163,10010,9515,126146,188,202,221,139,182,198,191,163,205,204,194,187,2274,4699,3776,4646,1524,4523,4781,4977,5223,4880,5477,4730,4786,54159,2739,2325,2451,2671,2641,3289,3118,3230,2618,2581,2361,2132,32156
Roosevelt,41.8692761485,-87.6544799841,1101 W. Taylor Street,60607,48,YES,6539,6189,6729,6846,7141,7567,7709,8305,7315,8750,8709,7547,89346,4682,4538,4967,5117,4981,5319,5615,5496,4724,4427,4410,4090,58366,128,110,159,81,107,102,131,112,102,97,70,90,1289,2466,2023,2668,713,2515,2377,2194,2438,2252,2419,2166,2194,26415,1354,1179,1412,1330,1423,1391,1265,1459,1392,1168,1052,981,15406
